ImageName,TotalCells,NegativeCells,PositivePercentage,PositiveArea
actin-4607.10-obj10x.jpg,4269,4220,1.15,15337.298622755654
actin-4609.00-obj10x.jpg,4264,3932,7.79,87363.87269129045
actin-4609.03-obj10x.jpg,3494,3461,0.94,11330.699193411041
actin-4609.10-obj10x.jpg,3313,3114,6.01,60419.42271193676
actin-4622.01-obj10x.jpg,2552,2024,20.69,136554.15907358754
actin-4622.001-obj10x.jpg,3750,3671,2.11,25478.783934962936
actin-4622.03-obj10x.jpg,2468,2363,4.25,24204.118106870912
actin-4622.10-obj10x.jpg,5021,4846,3.49,44611.82907554554
actin-4963.00-obj10x.jpg,2231,1061,52.44,283027.00226014527
actin-4963.01-obj10x_01.jpg,2806,2772,1.21,10217.175895939581
actin-4963.01-obj10x.jpg,2091,2020,3.40,20050.404881893657
actin-4963.03-obj10x.jpg,2194,1359,38.06,198304.10679513495
actin-A516.01-obj10x.jpg,3769,3716,1.41,19781.88300931081
actin-A516.03-obj10x.jpg,4546,4246,6.60,80226.40515062772
actin-A516.10-obj10x.jpg,5719,5476,4.25,68137.37925253599
actin-A519.00-obj10x.jpg,2806,2328,17.03,140526.13133206335
actin-A519.03-obj10x.jpg,3523,3115,11.58,115676.94601771847
actin-A519.10-obj10x.jpg,4023,3815,5.17,61976.82227775222
actin-A521.00-obj10x.jpg,3120,2256,27.69,239838.77261443483
actin-A521.01-obj10x.jpg,5068,3487,31.20,430646.71517665643
actin-A521.03-obj10x.jpg,1828,1349,26.20,110795.905646862
